ACCIDENT_ID,LOCATE_ID_DISTRICT,ACCIDENT_MONTH,ACCIDENT_YEAR,ACCIDENT_COST,HUMAN_ADMIT,HUMAN_DEAD,ROADTYPE_ID,ROADSKIN_ID,ACDPOINT_ID,ATMOSPHERE_ID,LIGHT_ID,GIS_E,GIS_N,GIS_LAT,GIS_LNG,PERSON_GENDER,PERSON_AGE,PERSON_STATE,LOCATE_PROVINCE,LOCATE_DOMICILE,ACCIDENT_VEHICLE
42658,100955,7,13,0,2,0,Highways Road,Dry,Straight way,Bright,Day,676363,1811872,16.38167649,100.6513602,Male,45,Died later,1071,1071,motorcycle
42661,100949,8,13,59000,1,0,Roads in Village,Dry,Straight way,Bright,Day,664859,1840697,16.64297625,100.5457424,Female,13,Injured,1071,1071,Bus
43064,100949,5,13,50000,1,0,Roads in Village,Dry,Straight way,Bright,Day,689232,1878237,16.9803354,100.7773505,Male,16,Injured,1071,1071,motorcycle
43248,100954,1,13,4000,1,0,Roads in Village,Dry,Straight way,Bright,Day,668989,1827619,16.52450564,100.583488,Male,86,Injured,1071,1071,motorcycle
43352,100949,1,13,9000,1,0,City road (municipality),Wet,Straight way,Bright,Day,672749,1837729,16.61559247,100.6194741,Male,46,Injured,1071,1071,motorcycle
43356,100954,3,13,45000,1,0,Roads in Village,Dry,Straight way,Bright,Day,635757,1860169,16.82080848,100.2741007,Female,25,Injured,1071,1071,motorcycle
43555,100965,2,14,0,1,0,Rural Roads,Not specified,Straight way,Bright,Day,676509,1846072,16.69070266,100.6553601,Female,5,Injured,1071,1071,Sedan/Taxi
43576,100951,5,13,55000,1,0,Roads in Village,Dry,Straight way,Bright,Day,653222,1861321,16.83013777,100.4380556,Female,16,Injured,1071,1071,Bus
43577,100949,5,13,50000,1,0,Roads in Village,Dry,Straight way,Bright,Day,645525,1888908,17.07993444,100.3676335,Male,19,Injured,1071,1071,motorcycle
43588,100952,5,13,60000,1,0,Roads in Village,Wet,Straight way,Bright,Day,619262,1852723,16.75441272,100.1189213,Male,21,Injured,1071,1071,Sedan/Taxi
43650,100949,5,13,65000,1,0,Roads in Village,Dry,Straight way,Bright,Day,650129,1862129,16.83764074,100.4090869,Male,69,Injured,1071,1071,motorcycle
47222,100952,12,12,60000,1,0,Roads in Village,Wet,Straight way,Bright,Day,619418,1852660,16.75383538,100.1203814,Male,21,Injured,1071,1071,Sedan/Taxi
1581,100963,6,13,0,1,0,Not specified,Not specified,crossroad,Bright,Day,634512,1860388,16.82285978,100.2624314,Male,30,Died later,1071,1071,motorcycle
27031,100534,4,14,20000,1,0,Highways Road,Not specified,Curve,Bright,Day,612715,1862233,16.84068981,100.057981,Male,52,Injured,1071,1071,motorcycle
31485,100961,4,14,0,1,0,Roads in Village,Not specified,Curve,Bright,Day,670371,1827486,16.5232052,100.5964244,Male,21,Injured,1071,1071,Sedan/Taxi
